timestamp,open,high,low,close,volume
7/6/2018,185.42,188.43,185.2,187.97,17485245
7/9/2018,189.5,190.68,189.3,190.58,19756634
7/10/2018,190.71,191.28,190.18,190.35,15939149
7/11/2018,188.5,189.78,187.61,187.88,18831470
7/12/2018,189.53,191.41,189.31,191.03,18041131
7/13/2018,191.08,191.84,190.9,191.33,12519792
7/16/2018,191.52,192.65,190.42,190.91,15043110
7/17/2018,189.75,191.87,189.2,191.45,15534523
7/18/2018,191.78,191.8,189.93,190.4,16393381
7/19/2018,189.69,192.55,189.69,191.88,20286752
7/20/2018,191.78,192.43,190.17,191.44,20706042
7/23/2018,190.68,191.96,189.56,191.61,15989365
7/24/2018,192.45,193.66,192.05,193,18697898
7/25/2018,193.06,194.85,192.43,194.82,16826483
7/26/2018,194.61,195.96,193.61,194.21,19075964
7/27/2018,194.99,195.19,190.1,190.98,24023972
7/30/2018,191.9,192.2,189.07,189.91,21029535
7/31/2018,190.3,192.14,189.34,190.29,39373038
8/1/2018,199.13,201.76,197.31,201.5,67935716
8/2/2018,200.58,208.38,200.35,207.39,62404012
8/3/2018,207.03,208.74,205.48,207.99,33447396
8/6/2018,208,209.25,207.07,209.07,25425387
8/7/2018,209.32,209.5,206.76,207.11,25587387
8/8/2018,206.05,207.81,204.52,207.25,22525487
8/9/2018,207.28,209.78,207.2,208.88,23492626
8/10/2018,207.36,209.1,206.67,207.53,24611202
8/13/2018,207.7,210.95,207.7,208.87,25890880
8/14/2018,210.16,210.56,208.26,209.75,20748010
8/15/2018,209.22,210.74,208.33,210.24,28807564
8/16/2018,211.75,213.81,211.47,213.32,28500367
8/17/2018,213.44,217.95,213.16,217.58,35426997
8/20/2018,218.1,219.18,215.11,215.46,30287695
8/21/2018,216.8,217.19,214.03,215.04,26159755
8/22/2018,214.1,216.36,213.84,215.05,19018131
8/23/2018,214.65,217.05,214.6,215.49,18883224
8/24/2018,216.6,216.9,215.11,216.16,18476356
8/27/2018,217.15,218.74,216.33,217.94,20525117
8/28/2018,219.01,220.54,218.92,219.7,22776766
8/29/2018,220.15,223.49,219.41,222.98,27254804
8/30/2018,223.25,228.26,222.4,225.03,48793824
8/31/2018,226.51,228.87,226,227.63,43340134
9/4/2018,228.41,229.18,226.63,228.36,27390132
9/5/2018,228.99,229.67,225.1,226.87,33332960
9/6/2018,226.23,227.35,221.3,223.1,34289976
9/7/2018,221.85,225.37,220.71,221.3,37619810
9/10/2018,220.95,221.85,216.47,218.33,39516453
9/11/2018,218.01,224.3,216.56,223.85,35749049
9/12/2018,224.94,225,219.84,221.07,49278740
9/13/2018,223.52,228.35,222.57,226.41,41706377
9/14/2018,225.75,226.84,222.52,223.84,31999289
9/17/2018,222.15,222.95,217.27,217.88,37195133
9/18/2018,217.79,221.85,217.12,218.24,31571712
9/19/2018,218.5,219.62,215.3,218.37,27123833
9/20/2018,220.24,222.28,219.15,220.03,26608794
9/21/2018,220.78,221.36,217.29,217.66,96246748
9/24/2018,216.82,221.26,216.63,220.79,27693358
9/25/2018,219.75,222.82,219.7,222.19,24554379
9/26/2018,221,223.75,219.76,220.42,23984706
9/27/2018,223.82,226.44,223.54,224.95,30181227
9/28/2018,224.79,225.84,224.02,225.74,22929364
10/1/2018,227.95,229.42,226.35,227.26,23600802
10/2/2018,227.25,230,226.63,229.28,24788170
10/3/2018,230.05,233.47,229.78,232.07,28654799
10/4/2018,230.78,232.35,226.73,227.99,32042000
10/5/2018,227.96,228.41,220.58,224.29,33580463
10/8/2018,222.21,224.8,220.2,223.77,29663923
10/9/2018,223.64,227.27,222.25,226.87,26891029
10/10/2018,225.46,226.35,216.05,216.36,41990554
10/11/2018,214.52,219.5,212.32,214.45,53124392
10/12/2018,220.42,222.88,216.84,222.11,40337851
10/15/2018,221.16,221.83,217.27,217.36,30791007
10/16/2018,218.93,222.99,216.76,222.15,29183963
10/17/2018,222.3,222.64,219.34,221.19,22885397
10/18/2018,217.86,219.74,213,216.02,32581315
10/19/2018,218.06,221.26,217.43,219.31,33078726
10/22/2018,219.79,223.36,218.94,220.65,28792082
10/23/2018,215.83,223.25,214.7,222.73,38767846
10/24/2018,222.6,224.23,214.54,215.09,40925163
10/25/2018,217.71,221.38,216.75,219.8,29855768
10/26/2018,215.9,220.19,212.67,216.3,47258375
10/29/2018,219.19,219.69,206.09,212.24,45935520
10/30/2018,211.15,215.18,209.27,213.3,36659990
10/31/2018,216.88,220.45,216.62,218.86,38358933
11/1/2018,219.05,222.36,216.81,222.22,58323180
11/2/2018,209.55,213.65,205.43,207.48,91328654
11/5/2018,204.3,204.39,198.17,201.59,66163669
11/6/2018,201.92,204.72,201.69,203.77,31882881
11/7/2018,205.97,210.06,204.13,209.95,33424434
11/8/2018,209.98,210.12,206.75,208.49,25362636
11/9/2018,205.55,206.01,202.25,204.47,34365750
11/12/2018,199,199.85,193.79,194.17,51135518
11/13/2018,191.63,197.18,191.45,192.23,46882936
11/14/2018,193.9,194.48,185.93,186.8,60800957
11/15/2018,188.39,191.97,186.9,191.41,46478801
11/16/2018,190.5,194.97,189.46,193.53,36928253
11/19/2018,190,190.7,184.99,185.86,41920872
11/20/2018,178.37,181.47,175.51,176.98,67825247
11/21/2018,179.73,180.27,176.55,176.78,31124210
11/23/2018,174.94,176.595,172.1,172.29,23623972
11/26/2018,174.24,174.95,170.26,174.62,44998520
11/27/2018,171.51,174.77,170.88,174.24,41387377
11/28/2018,176.73,181.29,174.93,180.94,46062539
11/29/2018,182.66,182.8,177.7,179.55,41769992
11/30/2018,180.29,180.33,177.03,178.58,39531549
12/3/2018,184.46,184.94,181.21,184.82,40798002
12/4/2018,180.95,182.39,176.27,176.69,41344282
12/6/2018,171.76,174.78,170.42,174.72,43098410
12/7/2018,173.49,174.49,168.3,168.49,42281631
